date,country,D,H,I,M,S
2021-04-01,Afghanistan,0,37,0,0,0
2021-04-01,Japan,0,121,0,0,0
2021-04-01,Sweden,0,9,0,0,0
2021-04-02,Afghanistan,0,24,13,0,0
2021-04-02,Japan,0,91,30,0,0
2021-04-02,Sweden,0,5,4,0,0
2021-04-03,Afghanistan,0,20,17,0,0
2021-04-03,Japan,0,61,60,0,0
2021-04-03,Sweden,0,5,4,0,0
2021-04-04,Afghanistan,0,19,18,0,0
2021-04-04,Japan,0,49,72,0,0
2021-04-04,Sweden,0,3,6,0,0
2021-04-05,Afghanistan,0,16,21,0,0
2021-04-05,Japan,0,35,86,0,0
2021-04-05,Sweden,0,2,7,0,0
2021-04-06,Afghanistan,0,11,13,6,7
2021-04-06,Japan,0,31,60,14,16
2021-04-06,Sweden,0,2,3,4,0
2021-04-07,Afghanistan,0,9,11,7,10
2021-04-07,Japan,0,25,36,30,30
2021-04-07,Sweden,0,2,3,4,0
2021-04-08,Afghanistan,0,7,12,8,10
2021-04-08,Japan,0,22,27,38,34
2021-04-08,Sweden,0,0,3,5,1
2021-04-09,Afghanistan,0,6,10,9,12
2021-04-09,Japan,0,17,18,43,43
2021-04-09,Sweden,0,0,2,6,1
2021-04-10,Afghanistan,0,5,6,13,13
2021-04-10,Japan,0,13,18,46,44
2021-04-10,Sweden,0,0,2,6,1
2021-04-11,Afghanistan,0,2,7,14,14
2021-04-11,Japan,0,10,15,50,46
2021-04-11,Sweden,0,0,2,6,1
2021-04-12,Afghanistan,0,2,5,16,14
2021-04-12,Japan,0,8,14,51,48
2021-04-12,Sweden,0,0,0,7,2
2021-04-13,Afghanistan,0,1,5,17,14
2021-04-13,Japan,0,7,10,53,51
2021-04-13,Sweden,0,0,0,7,2
2021-04-14,Afghanistan,0,1,4,18,14
2021-04-14,Japan,0,6,7,55,53
2021-04-14,Sweden,0,0,0,7,2
2021-04-15,Afghanistan,0,1,1,20,15
2021-04-15,Japan,0,5,5,55,56
2021-04-15,Sweden,0,0,0,7,2
2021-04-16,Afghanistan,0,1,1,20,15
2021-04-16,Japan,0,4,4,55,58
2021-04-16,Sweden,0,0,0,7,2
2021-04-17,Afghanistan,0,1,0,20,16
2021-04-17,Japan,0,4,3,55,59
2021-04-17,Sweden,0,0,0,7,2
2021-04-18,Afghanistan,0,1,0,20,16
2021-04-18,Japan,0,4,2,56,59
2021-04-18,Sweden,0,0,0,7,2
2021-04-19,Afghanistan,0,1,0,20,16
2021-04-19,Japan,0,2,3,57,59
2021-04-19,Sweden,0,0,0,7,2
2021-04-20,Afghanistan,0,1,0,27,9
2021-04-20,Japan,1,2,2,72,44
2021-04-20,Sweden,0,0,0,7,2
2021-04-21,Afghanistan,0,1,0,30,6
2021-04-21,Japan,5,2,2,82,30
2021-04-21,Sweden,0,0,0,7,2
2021-04-22,Afghanistan,0,1,0,30,6
2021-04-22,Japan,6,1,3,85,26
2021-04-22,Sweden,1,0,0,7,1
2021-04-23,Afghanistan,0,1,0,32,4
2021-04-23,Japan,8,1,1,93,18
2021-04-23,Sweden,1,0,0,7,1
2021-04-24,Afghanistan,0,1,0,33,3
2021-04-24,Japan,8,1,1,94,17
2021-04-24,Sweden,1,0,0,7,1
2021-04-25,Afghanistan,0,1,0,34,2
2021-04-25,Japan,8,1,1,96,15
2021-04-25,Sweden,1,0,0,7,1
2021-04-26,Afghanistan,0,1,0,34,2
2021-04-26,Japan,8,1,0,99,13
2021-04-26,Sweden,1,0,0,8,0
2021-04-27,Afghanistan,0,1,0,34,2
2021-04-27,Japan,9,1,0,101,10
2021-04-27,Sweden,1,0,0,8,0
2021-04-28,Afghanistan,0,1,0,34,2
2021-04-28,Japan,9,1,0,103,8
2021-04-28,Sweden,1,0,0,8,0
2021-04-29,Afghanistan,0,1,0,35,1
2021-04-29,Japan,9,1,0,106,5
2021-04-29,Sweden,1,0,0,8,0
2021-04-30,Afghanistan,0,1,0,35,1
2021-04-30,Japan,10,1,0,107,3
2021-04-30,Sweden,1,0,0,8,0
2021-05-01,Afghanistan,0,1,0,36,0
